ID,A1,A2,A3,A4,B1,B2,B3,B4,D1,D2,D3,D4,eI,eII,eIII
26,0.27900635,-0.23325318,-0.1875,0.10825318,-0.22600159,-0.12081329,-0.046875,0.35182282,0.17981766,-0.59546761,-0.38671875,0.16914559,4.485203198,-0.561147236,-0.990845124
27,0.1875,-0.23325318,-0.0625,-0.10825318,0.22600159,0.12694306,-0.109375,-0.08118988,0.23981369,-0.11920571,-0.21484375,0.27739876,4.355311499,-0.61672018,-0.875479832
28,0.125,0,-0.375,0,0.25,0.55412659,0.3125,0.05412659,0.171875,-0.05315506,-0.65625,0.04059494,4.807566689,-0.856853289,-1.041661996
29,-0.10825318,0.02900635,-0.1875,-0.32475953,-0.24356964,0.22824524,0.078125,-0.40594941,0.13385918,-0.44181687,-0.33984375,-0.50743676,5.621900311,-1.02253931,-1.16190603
30,0.04575318,-0.29575318,0.375,-0.4330127,0.60518829,-0.08231171,-0.1875,-0.05412659,0.02461434,-0.15910957,0.7734375,-0.18944306,4.537156773,-0.602773648,-0.947699561
31,-0.29575318,-0.17075318,0.125,0.21650635,-0.57558076,-0.29881806,0.09375,0.59539247,-0.19342446,-0.25760719,0.2890625,0.09472153,8.873676468,-0.280320198,-2.253625783
32,0.40400635,0.14174682,-0.3125,0.32475953,0.18024841,0.28094941,-0.015625,0.08118988,0.48435486,0.42905144,-0.08984375,0.79160135,4.612807227,-0.776241366,-0.826663875
33,0.23325318,0.15400635,-0.1875,0.32475953,0.13531647,0.00112182,-0.015625,-0.18944306,0.57371285,0.52188492,-0.01171875,0.7510064,4.918787962,-0.864468497,-0.899759307
34,0.0625,-0.35825318,-0.3125,-0.10825318,0.11774841,-0.43719941,-0.328125,0.18944306,0.06165863,-0.29736076,-0.37109375,-0.53450005,5.192306911,-0.814740255,-1.413390634
35,-0.0625,-0.10825318,0.3125,0.32475953,0.34262818,0.03543671,0.078125,-0.13531647,0.01156845,-0.21433785,0.08984375,0.46684182,4.495830524,-0.313790782,-1.057824961
36,0.1875,0.26674682,-0.3125,-0.10825318,-0.27788453,-0.26256012,0.234375,-0.24356964,-0.03975357,0.32763924,-0.20703125,-0.16914559,5.613332642,-0.418952484,-1.351756035
37,0.125,-0.375,0,0,-0.09375,0.09375,-0.1875,0,-0.18888214,-0.3984375,0.421875,0.24356964,3.430832282,-0.43188555,-0.738428906
38,-0.51225953,-0.54575318,0.125,0.21650635,0.20118194,-0.18219147,-0.21875,0.05412659,-0.53339837,-0.4840194,0.21875,0.13531647,11.89301686,-1.612508492,-4.215786106
39,0.17075318,0.20424682,-0.375,-0.21650635,0.33006806,-0.71344147,0.6875,-0.10825318,0.37142922,0.30029549,-0.234375,-0.21650635,4.717550109,-0.49965297,-1.140530722
40,-0.29575318,-0.20424682,0.5,0.21650635,-0.54881806,-0.17381806,0.34375,0,-0.22773934,-0.00357078,0.3125,0.41948105,6.70804996,-0.109988011,-1.721320126
41,-0.5580127,-0.21650635,-0.125,0.21650635,0.10825318,-0.3125,-0.1875,0.4330127,-0.70323502,-0.28053879,0.109375,0.21650635,13.78134858,-1.339065326,-3.038619741
