ID,A1,A2,A3,B1,B2,B3,D1,D2,D3,e1,e2,e3,e12,e13,e23,eI,eII,eIII
90,-0.25,0.25,0.5,0.125,-0.125,0.25,-0.8125,0.0625,0.875,-0.152188787,6.575643565,-1.720969032,-0.120180756,-0.474969157,0.128833613,6.289425008,-0.183429967,-1.598493293
91,-0.625,-0.125,0.25,-0.34375,-0.09375,0.6875,-0.6484375,0.2265625,0.296875,-0.033507509,16.50614548,-4.248127025,-0.769918215,2.677510565,0.062139334,16.60092613,-0.041566008,-4.334849181
92,-0.125,0.125,-0.25,0.34375,0.53125,-0.0625,-0.1484375,0.1484375,-0.109375,-0.240294733,6.639252824,-1.640312776,-1.31506953,-1.049007806,0.294238052,6.243770336,-0.650094162,-1.347372981
93,-0.125,0.375,0.25,-0.40625,-0.28125,0.5625,-0.2421875,0.3515625,0.296875,-0.02693761,6.777507806,-1.750450365,1.22228701,1.042887288,0.009358755,6.863330552,-0.080378506,-1.782832215
94,-0.125,-0.125,0.75,-0.40625,0.21875,0.4375,-0.5703125,-0.2890625,0.421875,-0.029728481,3.569191031,-0.922606806,-1.214196818,0.383721019,-0.009453342,3.676699587,-0.128511951,-0.931331891
95,0.375,0.375,0.25,0.34375,-0.03125,0.0625,0.1171875,0.5859375,-0.171875,1.931249208,2.012294935,-0.956774212,-4.878276159,-0.359265274,0.216292283,4.069329358,-0.32696362,-0.883237847
96,0,0,-0.5,-0.3125,0.5625,0,0,0,-0.40625,4.218786926,3.193804946,-1.770629649,-9.636411642,0.613960792,-0.512891638,8.566847181,-1.134148865,-1.790736092
97,-0.25,0,-0.5,0.0625,-0.5,-0.125,-0.203125,-0.1875,-0.59375,5.659859889,2.959837666,-2.00524737,-11.89990442,-0.646310036,0.21808235,9.909371348,-1.247294458,-2.0535072
98,0,0.25,0.5,0.4375,-0.125,0.25,0.140625,0.15625,0.6875,-0.168781211,5.079785915,-1.291566484,-0.231475682,-0.471731403,0.178997707,4.854626715,-0.30414994,-1.159011048
99,-0.125,-0.125,-0.25,0.03125,0.28125,0.3125,-0.3828125,-0.1015625,-0.015625,-0.324970368,6.309650489,-1.531968911,-2.300204142,0.668172688,-0.385691383,6.519596872,-0.501395808,-1.565489855
100,-0.25,0,0,-0.625,0.0625,0.375,-0.15625,0.140625,0.46875,-0.083960822,12.00859493,-3.13188676,0.62102944,1.601660188,-0.077242312,12.05865075,-0.090798097,-3.175105306
101,0,0,0.5,0.0625,0.0625,0.75,-0.140625,-0.140625,0.125,-0.015971731,4.042305227,-1.018909799,-0.629139358,0.737144537,-0.00453696,4.092987187,-0.039539677,-1.046023813
102,-0.125,0.125,-0.25,0.21875,0.28125,0.4375,0.2734375,0.2890625,-0.390625,7.006930537,-1.088231747,-1.284507102,1.50582935,-0.068447971,-1.433430407,7.13737604,-1.152484575,-1.350699778
103,-0.375,-0.125,-0.25,-0.03125,0.03125,0.0625,-0.5859375,0.1796875,0.171875,-0.45993758,9.137531888,-2.214556743,-3.333744462,0.994019088,-0.535678555,9.44331544,-0.719588049,-2.260689826
104,0.125,-0.375,0.25,-0.34375,-0.09375,-0.1875,0.2421875,-0.4453125,0.109375,0.301323871,2.439020609,-0.685912019,3.012999805,-0.229383144,-0.346043651,3.225736616,-0.437320008,-0.733984147
105,0.25,-0.25,-0.5,0.125,-0.5,0.25,0.0625,-0.25,-0.875,0.577351848,3.858203345,-1.049835968,5.592481539,-0.570352249,-0.767740257,5.489080877,-0.858758501,-1.244603151
106,-0.5,-0.25,0,0,0.4375,0,-0.40625,-0.015625,-0.1875,1.827770429,6.219066418,-1.922717809,9.215658647,1.183686581,2.043480199,9.395192491,-1.630229836,-2.07393196
107,0.125,-0.125,-0.25,0.28125,0.46875,0.4375,0.1953125,-0.1015625,-0.578125,0.496035809,3.180481071,-0.820459788,4.533135616,-0.231566942,-0.36332025,4.524939168,-0.72785537,-1.04313475
108,0,-0.25,0,-0.0625,0.375,0.125,0.515625,-0.0625,0.28125,0.422012663,2.94425121,-0.768149379,3.895230948,0.622022358,0.399307537,4.163580894,-0.761232502,-0.876937914
109,-0.375,0.375,-0.25,0.40625,-0.03125,-0.8125,-0.4453125,-0.0234375,-0.109375,-0.058132255,21.34538692,-5.592469197,5.641134194,-3.151183773,-0.006921618,19.2482483,-0.483508177,-4.635659185
110,-0.375,0.125,0.25,0.09375,-0.28125,-0.3125,-0.2578125,0.1484375,-0.453125,3.791709096,3.968987003,-1.880710545,-9.199492561,-0.795318319,0.460969095,7.897007659,-0.428213017,-1.780988752
111,0,0,0,0.3125,0.0625,-0.375,0.140625,-0.140625,0.46875,-0.096528217,5.681730472,-1.423748616,-0.924302185,-0.984311391,0.099501467,5.169217833,-0.277503944,-1.16702181
112,-0.5,0.25,0,-0.3125,0,0.625,-0.5,0.203125,0,-0.092429991,17.74985169,-4.641116577,3.130049372,2.390555819,-0.039829683,17.94867627,-0.225271153,-4.707100004
113,0,0,-1,0,0.375,0,0,0.1875,-1,0.838286669,6.179258914,-1.499024796,13.01830191,-0.280299437,0.077560626,11.10704161,-1.515635416,-4.136574693
114,-0.5,-0.25,0,-0.0625,-0.25,0.125,-0.21875,-0.484375,-0.5625,2.044016146,6.713332405,-2.113995736,10.11781875,-1.183685005,-2.080516688,10.04281094,-0.948210388,-2.451247737
115,0.125,0.125,-0.75,0.21875,0.09375,0.4375,0.2890625,0.0078125,-0.421875,7.335285627,-1.843217215,-1.097371457,3.710089441,-0.10071526,-1.277147594,7.741854234,-1.138294723,-2.208862556
116,0.125,0.125,0.25,0.53125,0.03125,0.0625,0.0078125,0.5703125,-0.171875,3.006487095,2.531295177,-1.358191513,-6.754192582,-0.475813567,0.20458072,5.502987154,-0.393690594,-1.200464116
117,0,0,-0.5,-0.0625,0.0625,0.5,-0.09375,-0.65625,-0.59375,2.043394124,5.054225112,-1.708477423,8.945345035,-0.816247039,-1.588436899,8.331077755,-0.966245058,-1.975690884
118,0.375,-0.125,0.25,0.15625,-0.21875,0.4375,0.3984375,-0.0078125,-0.171875,2.924890614,-0.188029182,-0.615204538,1.249423585,0.002678571,-0.912793093,3.099607156,-0.288740683,-0.68920958
119,0,0,0,-0.375,-0.125,0.25,-0.140625,-0.421875,-0.46875,1.496688346,3.31691539,-1.154587135,5.928834726,-0.585850239,-1.143163408,5.557188449,-0.567139807,-1.33103204
120,0,0,0,0,-0.125,-0.25,-0.140625,0.421875,-0.46875,2.713772556,1.385378409,-0.941319606,-5.341710494,-0.4731994,0.232250641,4.56673447,-0.486676284,-0.958007547
121,-0.25,0.25,0,-0.3125,0.3125,-0.25,0.21875,0.53125,-0.28125,4.214645305,3.814420597,-1.983155267,-11.0328765,0.435467191,-0.294211077,9.540332877,-1.49944368,-1.994978562
122,0.25,-0.25,0.5,0.375,-0.125,-0.25,0.53125,-0.0625,0.875,2.755290079,-0.059853387,-0.626484589,1.274013448,-0.016726738,0.544023994,2.76163389,-0.200711952,-0.597135529
123,0.25,0.25,0.5,0.375,-0.125,0.25,0.625,0.0625,0.875,3.733567937,-0.205278739,-0.805900571,0.615766412,-0.008753182,0.447458956,3.621128148,-0.1963165,-0.774972142
124,-0.5,0,0.5,0.3125,-0.3125,-0.25,-0.546875,-0.234375,0.3125,-0.135823311,8.925012953,-2.340762754,-0.785657012,-0.744546136,0.116873673,8.360288927,-0.192320052,-2.097113005
125,0.25,-0.25,0.5,0.375,0.25,0.5,-0.078125,-0.203125,0.59375,-0.066260204,3.072687468,-0.787610351,-2.026314323,-0.269516624,0.054485436,3.150974256,-0.420673996,-0.679404513
126,0.375,0.125,0.25,0.28125,-0.40625,0.4375,0.5859375,0.2890625,0.203125,2.718236392,-0.245032952,-0.495201132,1.473755256,0.287931907,-0.914487937,3.047323687,-0.555902103,-0.600515947
127,0,0.25,0,-0.0625,0,-0.125,-0.375,0.203125,0.5625,-0.281955626,4.740216027,-1.155230449,-1.202516578,0.407741408,-0.326483532,4.819420409,-0.330050042,-1.186340415
128,-0.25,-0.25,-0.5,-0.25,0,0.5,-0.203125,-0.484375,-0.59375,3.76019525,8.012138569,-2.823402478,14.57453851,-1.496835175,-2.944856078,13.61117083,-1.372538184,-3.289701306
